sale_date,sale_price,latitude,longitude,city,zoning,land_val,imp_val,year_built,sqft_lot,sqft,grade,fbsmt_grade,home_condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_otherwater,year,zipcode
2019-04-18,687475,47.68930605,-122.3414436,SEATTLE,SF 5000,104000,97000,1956,5000,1420,7,6,3,1.0,2,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98103
2019-03-25,600000,47.52489054,-122.3581563,SEATTLE,SF 5000,47000,64000,1920,10320,710,5,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
2019-04-26,3000000,47.68336295,-122.33351,SEATTLE,SF 5000,128000,138800,1926,6120,2730,7,5,3,1.5,4,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2019,98103
2019-04-05,1147500,47.60701445,-122.2996233,SEATTLE,SF 5000,35000,171000,1925,5000,2480,7,5,4,1.5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98122
2019-04-30,2325000,47.63930098,-122.359987,SEATTLE,SF 5000,114000,120000,1907,5400,1110,7,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98119
2019-04-30,2220000,47.66211706,-122.2750025,SEATTLE,SF 5000,150000,103000,1925,5000,1480,7,7,5,1.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98105
2019-05-03,1475000,47.62420295,-122.3007622,SEATTLE,SF 5000,97000,132000,1908,5286,1800,7,5,4,1.0,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2019,98112
2019-05-08,2275000,47.68816317,-122.3408567,SEATTLE,SF 5000,115000,100000,1940,6150,1310,7,6,3,1.0,2,1,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98103
2019-04-29,1050000,47.70705679,-122.3141458,SEATTLE,SF 7200,73000,118000,1949,7200,1550,7,7,4,1.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98125
2019-05-23,428000,47.52227384,-122.3536273,SEATTLE,SF 5000,57000,53000,1918,13542,800,5,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
